MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
4953.132102;2;3;2;3;4;3;0.360046893;-8.846119881;30771.10547;85344.39063;0.088325657;131669.8906
4953.284502;2;3;2;3;4;3;0.35988608;-8.074887276;34264.39453;85355.50781;0.088285722;131984.3281
4953.436902;2;3;2;3;4;3;0.359725297;-7.303654671;37757.6875;85366.625;0.088245787;132298.7813
4953.589302;2;3;2;3;4;3;0.359564483;-6.532422066;41250.97656;85377.74219;0.088205852;132613.2188
4953.741702;2;3;2;3;4;3;0.35940367;-5.761188984;44744.26563;85388.86719;0.088165917;132927.6563
4953.894102;2;3;2;3;4;3;0.359242886;-4.989955425;48237.55469;85399.98438;0.088125981;133242.0938
4954.046502;2;3;2;3;4;3;0.359082073;-4.21872139;51730.84375;85411.10156;0.088086046;133556.5469
4954.198902;2;3;2;3;4;3;0.35892126;-3.447486639;55224.13281;85422.21875;0.088046096;133870.9844
4954.351302;2;3;2;3;4;3;0.358760476;-2.67625165;58717.42188;85433.34375;0.088006169;134185.4219
4954.503702;2;3;2;3;3;3;0.358599663;-1.905016422;62210.71094;85444.46094;0.087966226;134499.8594
4954.656102;3;3;3;3;4;3;0.358438879;-1.133780837;65704;85455.58594;0.087926291;134814.2969
4954.808502;3;3;3;3;3;3;0.358278066;-0.362544805;69197.28125;85466.71094;0.087886363;135128.7344
4954.960902;4;3;3;3;3;3;0.358117253;0.408691585;72690.57031;85477.82813;0.087846421;135443.1875
4955.113302;4;3;3;3;3;3;0.357956469;1.179928422;76183.85938;85488.95313;0.087806478;135757.625
4955.265702;4;3;3;3;3;3;0.357795686;1.951165676;79677.14063;85500.07813;0.087766543;136072.0625
4955.418102;4;3;3;3;3;3;0.357634872;2.722403288;83170.42969;85511.20313;0.087726601;136386.5
4955.570502;4;3;3;3;3;3;0.357474089;3.493641138;86663.71094;85522.32813;0.087686658;136700.9375
4955.722902;4;3;3;3;3;3;0.357329309;4.257677555;90095.42188;85584.34375;0.087614186;136978.4063
4955.875302;4;3;3;3;3;3;0.357217252;5.007035732;93401.61719;85750.05469;0.087475397;137180.5781
4956.027702;4;3;3;3;3;3;0.357109815;5.754309177;96689.98438;85930.50781;0.08732719;137372.0313
4956.180102;4;3;3;3;3;3;0.357002407;6.501583099;99978.34375;86110.95313;0.08717899;137563.5
4956.332502;4;3;3;3;3;3;0.356895;7.248857498;103266.6953;86291.40625;0.087030776;137754.9531
4956.484902;4;3;3;3;3;3;0.356787562;7.996131897;106555.0469;86471.85938;0.086882569;137946.4219
4956.637302;4;3;3;3;3;3;0.356680155;8.74340725;109843.3984;86652.30469;0.086734369;138137.875
4956.789702;4;3;3;3;3;3;0.356572747;9.490683556;113131.7422;86832.75781;0.086586155;138329.3281
4956.942102;4;3;3;3;3;3;0.35646534;10.23795986;116420.0781;87013.21094;0.086437933;138520.7969
4957.094502;3;3;3;3;3;3;0.356357902;10.98523617;119708.4141;87193.66406;0.086289734;138712.25
4957.246902;3;3;3;3;3;3;0.356250495;11.73251343;122996.75;87374.11719;0.086141519;138903.7031
4957.399302;3;3;3;3;3;3;0.356143087;12.47979164;126285.0781;87554.5625;0.08599332;139095.1563
4957.551702;3;3;3;3;3;3;0.35603565;13.22706986;129573.4063;87735.01563;0.085845105;139286.6094
4957.704102;3;3;3;3;3;3;0.355928242;13.97434807;132861.7188;87915.46875;0.085696884;139478.0625
4957.856502;3;3;3;3;4;3;0.355820835;14.72162819;136150.0313;88095.92188;0.085548669;139669.5156
4958.008902;3;3;3;3;4;3;0.355713397;15.46890831;139438.3438;88276.375;0.085400455;139860.9688
4958.161302;2;3;2;3;4;3;0.35560599;16.21618843;142726.6563;88456.82813;0.08525224;140052.4219
4958.313702;2;3;2;3;4;3;0.355498582;16.96346855;146014.9531;88637.28125;0.085104026;140243.875
4958.466102;2;3;2;3;4;3;0.355391175;17.71075058;149303.2656;88817.74219;0.084955812;140435.3281
4958.618502;2;3;2;3;4;3;0.355283737;18.4580307;152591.5469;88998.19531;0.084807597;140626.7656
4958.770902;2;3;2;3;4;3;0.35517633;19.20531464;155879.8438;89178.64844;0.08465939;140818.2188
4958.923302;3;3;3;3;4;3;0.355068922;19.95259666;159168.125;89359.10156;0.084511161;141009.6719
4959.075702;3;3;3;3;4;3;0.354961515;20.6998806;162456.4063;89539.55469;0.084362947;141201.1094
4959.228102;3;3;3;3;4;3;0.354854077;21.44716454;165744.6875;89720.01563;0.08421474;141392.5625
4959.380502;3;3;3;3;4;3;0.35474667;22.19444847;169032.9688;89900.46875;0.084066518;141584
4959.532902;3;3;3;3;4;3;0.354639262;22.94173431;172321.2344;90080.92188;0.083918296;141775.4531
4959.685302;2;3;2;3;4;3;0.354531854;23.68902016;175609.5;90261.38281;0.083770074;141966.8906
4959.837702;2;3;2;3;4;3;0.354424417;24.436306;178897.75;90441.83594;0.08362186;142158.3438
4959.990102;2;3;2;3;4;3;0.354317009;25.18359184;182186.0156;90622.29688;0.083473638;142349.7813
4960.142502;2;3;2;3;4;3;0.354209602;25.93087769;185474.2656;90802.75;0.083325416;142541.2188
4960.294902;3;3;3;3;4;3;0.354102194;26.67816544;188762.5156;90983.21094;0.083177194;142732.6563
4960.447302;3;3;3;3;4;3;0.353994757;27.42545319;192050.7656;91163.66406;0.083028972;142924.0938
4960.599702;3;3;3;3;4;3;0.353887349;28.17274284;195339;91344.125;0.082880743;143115.5469
4960.752102;4;3;3;3;4;3;0.353788137;28.93501854;198162.6563;91568.32031;0.082773961;143306.3438
4960.904502;4;3;3;3;4;3;0.353697181;29.71245003;200516.4063;91836.76563;0.082709089;143496.4844
4961.056902;4;3;3;3;4;3;0.353607327;30.49185181;202808.9375;92110.97656;0.082649685;143686.5469
4961.209302;4;3;3;3;4;3;0.353517473;31.27124405;205101.4531;92385.1875;0.08259026;143876.6094
4961.361702;4;3;3;3;4;3;0.353427649;32.05063629;207393.9531;92659.39844;0.082530856;144066.6719
4961.514102;4;3;3;3;4;3;0.353337824;32.83003235;209686.4531;92933.60938;0.082471445;144256.75
4961.666502;4;3;3;3;4;3;0.353248;33.60942459;211978.9531;93207.82813;0.082412019;144446.8125
4961.818902;3;3;3;3;4;3;0.353158176;34.38881683;214271.4375;93482.03906;0.082352601;144636.875
4961.971302;3;3;3;3;4;3;0.353068352;35.16820908;216563.9219;93756.25;0.082293183;144826.9375
