MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
5073.091;1;3;1;2;2;3;0.23093462;9.488307953;60025.11328;66465.89063;0.064079471;102418.8438
5073.2434;1;3;1;2;2;3;0.230933979;10.18553352;61874.08203;66473.63281;0.063849695;102324.2578
5073.3958;1;3;1;2;2;3;0.230933338;10.88276196;63723.04688;66481.36719;0.063619942;102229.6641
5073.5482;1;3;1;2;2;3;0.230932683;11.57999229;65572;66489.10156;0.063390195;102135.0625
5073.7006;3;3;3;2;2;3;0.230932012;12.27722454;67420.94531;66496.83594;0.063160479;102040.4453
5073.853;4;3;3;2;2;3;0.230931327;12.97445965;69269.89063;66504.5625;0.06293077;101945.8203
5074.0054;4;3;3;3;2;3;0.230930641;13.67169571;71118.83594;66512.28906;0.062701091;101851.1875
5074.1578;4;3;3;2;2;2;0.230929941;14.36893559;72967.76563;66520.01563;0.062471412;101756.5469
5074.3102;4;3;3;2;2;2;0.230929226;15.06617641;74816.69531;66527.74219;0.062241763;101661.8984
5074.4626;4;3;3;2;2;2;0.230928496;15.76342011;76665.61719;66535.46094;0.062012121;101567.2344
5074.615;4;3;3;2;2;2;0.230927765;16.46066475;78514.53125;66543.17969;0.061782502;101472.5625
5074.7674;3;3;3;2;2;2;0.230927005;17.15791321;80363.4375;66550.89844;0.061552901;101377.8828
5074.9198;3;2;3;2;2;2;0.230926246;17.85516167;82212.34375;66558.61719;0.061323311;101283.1875
5075.0722;3;2;3;2;2;2;0.230925471;18.55241394;84061.24219;66566.32813;0.061093751;101188.4844
5075.2246;3;2;3;2;2;2;0.230924681;19.24966812;85910.13281;66574.03906;0.060864192;101093.7734
5075.377;3;2;3;2;2;2;0.230923891;19.94692612;87759.01563;66581.75;0.060634662;100999.0547
5075.5294;2;2;2;2;2;2;0.230923072;20.64418411;89607.89844;66589.46094;0.060405143;100904.3281
5075.6818;2;2;2;2;2;2;0.230922252;21.34144592;91456.77344;66597.16406;0.060175642;100809.5859
5075.8342;2;2;2;2;2;2;0.230921418;22.03870773;93305.64063;66604.86719;0.059946161;100714.8359
5075.9866;2;2;2;2;2;2;0.230920583;22.73597336;95154.5;66612.57031;0.05971669;100620.0703
5076.139;2;2;2;2;2;2;0.230948135;23.43196869;96845.11719;66617.39063;0.059501603;100495.2344
5076.2914;2;2;2;2;2;2;0.231090888;24.12280083;97893.71094;66610.58594;0.059344776;100248.3984
5076.4438;3;2;3;2;2;2;0.231233805;24.81362152;98941.42969;66603.76563;0.059188034;100001.3906
5076.5962;3;2;3;2;2;2;0.231376723;25.5044384;99989.125;66596.94531;0.059031304;99754.36719
5076.7486;3;2;3;2;2;2;0.231519625;26.19525147;101036.7969;66590.13281;0.058874574;99507.33594
5076.901;3;2;3;2;2;2;0.231662527;26.88606072;102084.4375;66583.32813;0.058717854;99260.29688
5077.0534;2;2;2;2;2;2;0.23180531;27.57689476;103132.125;66576.52344;0.058561124;99013.25781
5077.2058;2;2;2;2;2;2;0.231947869;28.26777649;104179.9063;66569.73438;0.058404386;98766.22656
5077.3582;2;2;2;2;2;2;0.232090429;28.95865631;105227.6484;66562.95313;0.058247663;98519.1875
5077.5106;2;2;2;2;2;2;0.232232973;29.64953041;106275.3672;66556.17188;0.058090944;98272.14063
5077.663;2;2;2;2;2;2;0.232375518;30.3404026;107323.0469;66549.39844;0.057934225;98025.0625
5077.8154;2;2;2;2;2;2;0.232518047;31.03126907;108370.6953;66542.625;0.057777524;97777.97656
5077.9678;2;2;2;2;2;2;0.232660577;31.72213364;109418.3125;66535.85938;0.057620823;97530.875
5078.1202;2;2;2;2;2;2;0.232803091;32.41299439;110465.8984;66529.10156;0.057464134;97283.75781
5078.2726;2;2;2;2;2;2;0.232945591;33.10385132;111513.4531;66522.35156;0.057307445;97036.61719
5078.425;3;2;3;2;2;2;0.233088106;33.79470444;112560.9688;66515.60156;0.057150774;96789.46875
5078.5774;3;2;3;2;2;2;0.233230591;34.48555374;113608.4531;66508.85156;0.056994107;96542.30469
5078.7298;3;2;3;2;2;2;0.233373076;35.17639923;114655.9141;66502.11719;0.056837443;96295.125
5078.8822;3;2;3;2;2;2;0.233515561;35.86724091;115703.3281;66495.38281;0.056680784;96047.92969
5079.0346;2;2;2;2;2;2;0.233658031;36.55807877;116750.7188;66488.65625;0.056524146;95800.71875
5079.187;2;2;2;2;2;2;0.233800486;37.24891663;117798.0781;66481.92969;0.056367505;95553.48438
5079.3394;2;2;2;2;2;2;0.233942941;37.93974686;118845.3984;66475.21094;0.056210876;95306.24219
5079.4918;2;2;2;2;2;2;0.234085396;38.63057327;119892.6953;66468.49219;0.056054246;95058.98438
5079.6442;2;2;2;2;2;2;0.234227836;39.32139969;120939.9531;66461.78906;0.055897635;94811.71094
5079.7966;2;2;2;2;2;2;0.234370261;40.01221848;121987.1719;66455.08594;0.055741016;94564.42188
5079.949;2;2;2;2;2;2;0.234512687;40.70303726;123034.3672;66448.38281;0.055584416;94317.11719
5080.1014;2;2;2;2;2;2;0.234655097;41.39384842;124081.5313;66441.6875;0.055427823;94069.79688
5080.2538;2;2;2;2;2;2;0.234797508;42.08465958;125128.6563;66435;0.055271234;93822.46094
5080.4062;2;2;2;2;2;2;0.234939918;42.77546692;126175.75;66428.32031;0.055114664;93575.10938
5080.5586;2;2;2;2;2;2;0.235082299;43.46626663;127222.8125;66421.64063;0.054958087;93327.75
5080.711;2;2;2;2;2;2;0.235224694;44.15706635;128269.8438;66414.96875;0.054801524;93080.36719
5080.8634;2;2;2;2;2;2;0.235367075;44.84786224;129316.8438;66408.29688;0.054644965;92832.96875
5081.0158;2;2;2;2;2;2;0.23550944;45.53865433;130363.8125;66401.63281;0.054488413;92585.55469
5081.1682;2;2;2;2;2;2;0.235728383;46.22917557;131037.3203;66361.08594;0.054421019;92295.82813
5081.3206;3;2;3;2;2;2;0.236068934;46.91927338;131117.5938;66266.69531;0.054495234;91938.89063
5081.473;3;2;3;2;2;2;0.236409664;47.60936356;131197.0469;66172.25;0.054569624;91581.875
5081.6254;2;2;2;2;2;2;0.236750379;48.29944992;131276.4688;66077.82031;0.054644004;91224.84375
5081.7778;2;2;2;2;2;2;0.237091094;48.98953629;131355.8594;65983.39844;0.054718383;90867.8125
5081.9302;2;2;2;2;2;2;0.237431824;49.67961884;131435.2031;65888.99219;0.054792743;90510.77344
5082.0826;2;2;2;2;2;2;0.237772539;50.36969757;131514.5156;65794.59375;0.054867115;90153.73438
5082.235;2;2;2;2;2;2;0.238113254;51.05977249;131593.7969;65700.21094;0.054941464;89796.6875
5082.3874;2;2;2;2;2;2;0.238453969;51.74984741;131673.0313;65605.84375;0.055015825;89439.64063
5082.5398;2;2;2;2;2;2;0.238794684;52.43991852;131752.2344;65511.48828;0.055090163;89082.57813
5082.6922;2;2;2;2;2;2;0.239135414;53.12998581;131831.4063;65417.14063;0.055164505;88725.52344
