MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
5193.03;1;3;1;3;3;3;0.40944466;38.87723923;49117.85547;31945.00195;0.72772342;43693.35547
5193.1824;1;3;1;3;3;3;0.409587175;39.30029297;49539.57031;31885.28516;0.72575742;43636.49219
5193.3348;1;3;1;3;3;3;0.409727752;39.72331619;49960.57422;31825.5918;0.723787189;43579.5625
5193.4872;1;3;1;3;3;3;0.409866363;40.14630508;50380.86719;31765.92383;0.721812844;43522.55469
5193.6396;1;3;1;3;3;3;0.410003036;40.56925964;50800.44531;31706.2832;0.719834268;43465.46875
5193.792;1;3;1;3;3;3;0.410153598;40.99193192;51213.48047;31644.16992;0.71787405;43404.96094
5193.9444;3;3;3;3;3;3;0.410327315;41.41401672;51616.59375;31578.17578;0.715949774;43339.19531
5194.0968;3;3;3;3;3;3;0.410499483;41.83580399;52018.91797;31512.22266;0.714028239;43273.44922
5194.2492;3;3;3;3;3;3;0.410670102;42.25730133;52420.45313;31446.30859;0.712109566;43207.73047
5194.4016;3;3;3;3;3;3;0.41083917;42.67851639;52821.19922;31380.43555;0.710193753;43142.03906
5194.554;3;3;3;3;3;3;0.411006689;43.09944916;53221.16406;31314.59961;0.708280742;43076.37891
5194.7064;3;3;3;3;3;3;0.411172688;43.5201149;53620.34766;31248.80469;0.706370652;43010.75
5194.8588;1;3;1;3;3;3;0.411337107;43.9405098;54018.75;31183.04883;0.704463482;42945.16016
5195.0112;1;3;1;3;3;3;0.411499888;44.36072159;54416.50781;31117.34961;0.702558935;42879.63281
5195.1636;1;3;1;3;3;3;0.411660045;44.78168869;54815.16797;31051.92383;0.700652897;42814.44141
5195.316;3;3;3;3;3;3;0.411818653;45.20240402;55213.0625;30986.53711;0.698749721;42749.29688
5195.4684;3;3;3;3;3;3;0.411975712;45.62287903;55610.19141;30921.18945;0.696849406;42684.19141
5195.6208;4;3;3;3;3;3;0.41213125;46.04312134;56006.55859;30855.87891;0.694952011;42619.14063
5195.7732;4;3;3;3;3;3;0.412285268;46.46312714;56402.16797;30790.60938;0.693057537;42554.13672
5195.9256;4;3;3;3;3;3;0.4124569;46.86469269;56760.99609;30715.22266;0.691283882;42493.24609
5196.078;4;3;3;3;3;3;0.412668854;47.22676086;57040.55859;30617.78906;0.689784348;42441.59375
5196.2304;4;3;3;3;3;3;0.412879288;47.58930969;57319.42578;30520.48633;0.688309372;42390.51953
5196.3828;4;3;3;3;3;3;0.413088262;47.95234299;57597.59375;30423.31641;0.686858892;42340.01953
5196.5352;4;3;3;3;3;3;0.413295716;48.31586075;57875.07031;30326.2793;0.685432911;42290.08594
5196.6876;4;3;3;3;3;3;0.41350168;48.67986679;58151.84766;30229.37305;0.684031308;42240.72266
5196.84;4;3;3;3;3;3;0.413706154;49.04435349;58427.93359;30132.60156;0.682653964;42191.91797
5196.9924;4;3;3;3;3;3;0.413909137;49.40932846;58703.32031;30035.96289;0.681300998;42143.67188
5197.1448;3;3;3;3;3;3;0.414110601;49.77479553;58978.01172;29939.45898;0.679972172;42095.98438
5197.2972;3;3;3;3;3;3;0.414310604;50.14074707;59252.00391;29843.08789;0.678667545;42048.84766
