MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
5030.571685;1;3;1;3;3;3;0.454883754;36.33359146;116588.7969;58441;0.017463019;90864.41406
5030.724085;2;3;2;3;3;3;0.454821914;36.96689987;117885.2422;58555.50391;0.017334748;91002.39844
5030.876485;2;3;2;3;3;3;0.454759866;37.60017777;119181.9531;58670.15234;0.017206328;91140.60938
5031.028885;3;3;3;3;3;3;0.454697818;38.23345947;120478.6797;58784.80078;0.017077927;91278.82031
5031.181285;3;3;3;3;3;3;0.454635769;38.86673737;121775.4141;58899.44922;0.016949527;91417.03125
5031.333685;3;3;3;3;3;3;0.454573721;39.50001907;123072.1719;59014.09766;0.016821148;91555.24219
5031.486085;3;3;3;3;3;3;0.454511702;40.13329697;124368.9375;59128.74219;0.016692778;91693.46094
5031.638485;2;3;2;3;3;3;0.454449654;40.76657486;125665.7188;59243.38672;0.016564418;91831.67969
5031.790885;2;3;2;3;3;3;0.454387605;41.39985657;126962.5078;59358.02734;0.016436078;91969.89844
5031.943285;2;3;2;3;3;3;0.454325587;42.03313446;128259.3203;59472.66797;0.01630774;92108.11719
5032.095685;2;3;2;3;3;3;0.454263538;42.66641235;129556.1406;59587.30859;0.01617942;92246.34375
5032.248085;3;3;3;3;3;3;0.45420152;43.29969406;130852.9766;59701.94922;0.01605111;92384.57031
5032.400485;3;3;3;3;4;3;0.454139501;43.93297195;132149.8125;59816.58594;0.015922809;92522.79688
5032.552885;3;3;3;3;4;3;0.454077452;44.56624985;133446.6719;59931.22266;0.015794519;92661.03125
5032.705285;3;3;3;3;4;3;0.454015434;45.19952774;134743.5469;60045.85938;0.015666239;92799.26563
5032.857685;4;3;3;3;4;3;0.453953415;45.83280945;136040.4375;60160.49219;0.015537968;92937.5
5033.010085;4;3;3;3;4;3;0.453891397;46.46608734;137337.3438;60275.125;0.015409718;93075.73438
5033.162485;3;3;3;3;4;3;0.453829378;47.09936523;138634.2656;60389.75781;0.015281478;93213.97656
5033.314885;3;3;3;3;4;3;0.453767359;47.73264694;139931.1875;60504.38672;0.015153239;93352.21875
5033.467285;3;3;3;3;4;3;0.453705341;48.36592484;141228.1406;60619.01563;0.015025019;93490.46094
5033.619685;3;3;3;3;4;3;0.453643322;48.99920273;142525.0938;60733.64453;0.014896818;93628.70313
5033.772085;3;3;3;3;4;3;0.453581303;49.63248062;143822.0625;60848.26953;0.014768618;93766.95313
5033.924485;3;3;3;3;4;3;0.453519315;50.26576233;145119.0469;60962.89844;0.014640428;93905.20313
5034.076885;2;3;2;3;4;3;0.453457296;50.89904022;146416.0469;61077.52344;0.014512259;94043.45313
5034.229285;2;3;2;3;4;3;0.453395277;51.53231812;147713.0625;61192.14453;0.014384098;94181.71094
5034.381685;2;3;2;3;4;3;0.453333288;52.16559601;149010.0938;61306.76563;0.014255948;94319.96875
5034.534085;2;3;2;3;4;3;0.45327127;52.79887772;150307.125;61421.38672;0.014127809;94458.22656
5034.686485;2;3;2;3;4;3;0.453209281;53.43215561;151604.1875;61536.00781;0.013999678;94596.48438
5034.838885;3;3;3;3;4;3;0.453147292;54.0654335;152901.25;61650.625;0.013871558;94734.75
5034.991285;3;3;3;3;4;3;0.453085274;54.6987114;154198.3281;61765.24219;0.013743458;94873.01563
5035.143685;4;3;3;3;4;3;0.453023285;55.3319931;155495.3906;61879.85938;0.013615361;95011.28125
5035.296085;4;3;3;3;4;3;0.452956647;55.96666718;156729.6563;61993.00781;0.013490778;95151.77344
5035.448485;4;3;3;3;4;3;0.452846378;56.6144104;157375.2344;62092.44922;0.013398998;95313.03906
