MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
5341.467622;2;3;2;3;4;3;0.238737091;3.982109785;73129.79688;80227.375;0.038078174;124700.6875
5341.620022;2;3;2;3;4;3;0.238856733;4.503864288;75238.21094;80241.96094;0.037905794;124781.2734
5341.772422;2;3;2;3;4;3;0.238975763;5.025726795;77346.69531;80256.5625;0.037733894;124862.4766
5341.924822;2;3;2;3;4;3;0.239094168;5.547698975;79455.24219;80271.17969;0.037562486;124944.2891
5342.077222;2;3;2;3;4;3;0.239211962;6.06978178;81563.86719;80285.79688;0.037391543;125026.7188
5342.229622;2;3;2;3;4;3;0.23932913;6.591977119;83672.55469;80300.42969;0.037221074;125109.7656
5342.382022;2;3;2;3;4;3;0.239445671;7.114284992;85781.3125;80315.07813;0.037051074;125193.4297
5342.534422;2;3;2;3;4;3;0.239561617;7.636707783;87890.13281;80329.73438;0.036881555;125277.7109
5342.686822;3;3;3;3;4;3;0.239676938;8.159246445;89999.03125;80344.40625;0.036712505;125362.6172
5342.839222;3;3;3;3;4;3;0.239791632;8.681900978;92108;80359.08594;0.036543913;125448.1484
5342.991622;3;3;3;3;4;3;0.23990573;9.204674721;94217.03906;80373.78125;0.036375795;125534.3047
5343.144022;4;3;3;3;4;3;0.240019202;9.727567673;96326.14844;80388.48438;0.036208145;125621.0859
5343.296422;4;3;3;3;4;3;0.240132064;10.25058079;98435.32813;80403.20313;0.036040954;125708.5
5343.448822;4;3;3;3;4;3;0.240244314;10.77371597;100544.5859;80417.9375;0.035874225;125796.5391
5343.601222;4;3;3;3;4;3;0.240355954;11.29697418;102653.9141;80432.67969;0.035707954;125885.2109
5343.753622;4;3;3;3;4;3;0.240466982;11.82035637;104763.3203;80447.4375;0.035542138;125974.5156
5343.906022;4;3;3;3;4;3;0.2405774;12.34386444;106872.7969;80462.21094;0.035376787;126064.4531
5344.058422;4;3;3;3;4;3;0.240687206;12.86749935;108982.3516;80477;0.035211876;126155.0234
5344.210822;4;3;3;3;4;3;0.240796402;13.39126205;111091.9766;80491.79688;0.035047427;126246.2422
5344.363222;4;3;3;3;4;3;0.240905002;13.91515446;113201.6797;80506.60938;0.034883428;126338.0938
5344.515622;4;3;3;3;4;3;0.241012976;14.43917656;115311.4609;80521.4375;0.034719877;126430.5859
5344.668022;4;3;3;3;4;3;0.241120353;14.96333027;117421.3125;80536.28125;0.034556776;126523.7188
5344.820422;4;3;3;3;4;3;0.24122712;15.48761749;119531.25;80551.14063;0.034394126;126617.5
5344.972822;4;3;3;3;4;3;0.241333291;16.01204109;121641.2109;80566.02344;0.034231912;126711.9063
5345.125222;4;3;3;3;4;3;0.241437748;16.54737473;123348.0234;80615.15625;0.03409934;126690.6953
5345.277622;4;3;3;3;4;3;0.241541237;17.08605003;124938.0156;80674.07813;0.033975471;126635.2734
5345.430022;4;3;3;3;4;3;0.241644025;17.62499428;126526.5703;80732.96875;0.033851922;126578.7656
5345.582422;4;3;3;3;4;3;0.241746143;18.16420937;128113.6641;80791.82031;0.0337287;126521.1563
5345.734822;4;3;3;3;4;3;0.24184756;18.7036953;129699.3047;80850.64063;0.033605803;126462.4531
5345.887222;4;3;3;3;4;3;0.241948292;19.24345207;131283.4844;80909.42969;0.033483222;126402.6406
5346.039622;4;3;3;3;4;3;0.242048353;19.7834816;132866.2031;80968.17969;0.033360962;126341.7266
5346.192022;4;3;3;3;4;3;0.242147714;20.32378388;134447.4375;81026.89063;0.033239022;126279.6953
5346.344422;4;3;3;3;4;3;0.242246404;20.8643589;136027.2031;81085.57031;0.033117391;126216.5469
5346.496822;3;3;3;3;4;3;0.242344409;21.4052105;137605.4844;81144.21875;0.032996092;126152.2734
5346.649222;3;3;3;3;4;3;0.242441729;21.94633484;139182.2813;81202.82813;0.032875102;126086.8828
