MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
5003.139398;1;3;1;3;3;3;0.259111315;-4.691561699;76600.32031;92488.35156;0.007954949;149060.0938
5003.291798;1;3;1;3;3;3;0.259063125;-3.856421947;80583.10156;92596.77344;0.007880739;149353.6719
5003.444198;1;3;1;3;3;3;0.259014934;-3.021281242;84565.89844;92705.19531;0.007806519;149647.2656
5003.596598;1;3;1;3;3;3;0.258966744;-2.186139822;88548.71094;92813.61719;0.007732289;149940.8594
5003.748998;1;3;1;3;3;3;0.258918554;-1.350998044;92531.53906;92922.03906;0.007658069;150234.4531
5003.901398;1;3;1;3;3;3;0.258870363;-0.515855491;96514.375;93030.45313;0.007583839;150528.0625
5004.053798;1;3;1;3;3;3;0.258822173;0.319287598;100497.2266;93138.875;0.007509619;150821.6719
5004.206198;1;3;1;3;3;3;0.258773983;1.154431224;104480.0938;93247.29688;0.007435389;151115.2813
5004.358598;1;3;1;3;3;3;0.258725792;1.989575386;108462.9766;93355.71875;0.007361159;151408.9063
5004.510998;3;3;3;3;3;3;0.258677572;2.824720383;112445.875;93464.14063;0.007286919;151702.5469
5004.663398;3;3;3;3;3;3;0.258629382;3.659865618;116428.7813;93572.5625;0.007212689;151996.1875
5004.815798;3;3;3;3;3;3;0.258581162;4.495011807;120411.7031;93680.97656;0.007138449;152289.8281
5004.968198;3;3;3;3;3;3;0.258532941;5.330158711;124394.6406;93789.39844;0.007064209;152583.4844
5005.120598;3;3;3;3;3;3;0.258480519;6.172250748;128276.8281;93931.48438;0.006994932;152864.9063
5005.272998;3;3;3;3;3;3;0.258408964;7.0458951;131701.3125;94226.5;0.006948212;153090.7969
5005.425398;3;3;3;3;3;3;0.258337349;7.919583798;135125.2031;94521.71875;0.006901532;153316.6094
5005.577798;3;3;3;3;3;3;0.258265764;8.79327488;138549.125;94816.9375;0.006854842;153542.4063
5005.730198;3;3;3;3;3;3;0.258194178;9.666968346;141973.0469;95112.14844;0.006808142;153768.2188
5005.882598;3;3;3;3;3;3;0.258122593;10.54066372;145396.9844;95407.36719;0.006761452;153994.0313
5006.034998;4;3;3;3;3;3;0.258050978;11.414361;148820.9375;95702.58594;0.006714762;154219.8281
5006.187398;4;3;3;3;3;3;0.257979393;12.28806114;152244.9219;95997.80469;0.006668072;154445.6406
5006.339798;4;3;3;3;3;3;0.257907808;13.16176319;155668.9063;96293.02344;0.006621372;154671.4375
5006.492198;4;3;3;3;3;3;0.257836193;14.0354681;159092.9219;96588.24219;0.006574682;154897.25
5006.644598;4;3;3;3;3;3;0.257763922;14.90908909;162516.7656;96883.54688;0.006527992;155123.2188
5006.796998;4;3;3;3;3;3;0.257690847;15.78261566;165940.4531;97178.95313;0.006481302;155349.375
5006.949398;4;3;3;3;3;3;0.257617772;16.65614891;169364.1719;97474.36719;0.006434612;155575.5469
5007.101798;3;3;3;3;3;3;0.257544696;17.52968788;172787.9219;97769.78125;0.006387922;155801.7188
5007.254198;3;3;3;3;3;3;0.257471591;18.40323448;176211.7188;98065.20313;0.006341232;156027.875
5007.406598;3;3;3;3;3;3;0.257398486;19.2767849;179635.5313;98360.625;0.006294532;156254.0469
5007.558998;3;3;3;3;3;3;0.257325381;20.15034294;183059.3906;98656.04688;0.006247842;156480.2031
5007.711398;3;3;3;3;3;3;0.257252276;21.02390862;186483.2813;98951.47656;0.006201132;156706.3594
5007.863798;3;3;3;3;3;3;0.257179141;21.89748001;189907.2031;99246.90625;0.006154432;156932.5313
5008.016198;3;3;3;3;3;3;0.257105976;22.77105713;193331.1563;99542.33594;0.006107722;157158.6875
5008.168598;3;3;3;3;3;3;0.257032841;23.64463997;196755.1406;99837.77344;0.006061012;157384.8438
5008.320998;3;3;3;3;3;3;0.256959677;24.51823044;200179.1563;100133.2109;0.006014302;157611
5008.473398;3;3;3;3;3;3;0.256886512;25.39182663;203603.2188;100428.6484;0.005967582;157837.1563
5008.625798;2;3;2;3;3;3;0.256813318;26.26542854;207027.3125;100724.0859;0.005920862;158063.3125
5008.778198;3;3;3;3;3;3;0.256740123;27.13903809;210451.4219;101019.5313;0.005874142;158289.4688
5008.930598;3;3;3;3;3;3;0.256666929;28.01265335;213875.5781;101314.9844;0.005827412;158515.625
5009.082998;3;3;3;3;3;3;0.256593734;28.88627434;217299.7813;101610.4297;0.005780692;158741.7813
5009.235398;3;3;3;3;3;3;0.25652051;29.75990295;220724;101905.8828;0.005733962;158967.9375
5009.387798;3;3;3;3;3;3;0.256447285;30.63353729;224148.25;102201.3359;0.005687222;159194.0938
5009.540198;3;3;3;3;3;3;0.256374061;31.50717735;227572.5469;102496.7969;0.005640492;159420.2344
5009.692598;3;3;3;3;3;3;0.256300807;32.38082504;230996.875;102792.2578;0.005593752;159646.3906
5009.844998;3;3;3;3;3;3;0.256227553;33.25447846;234421.2344;103087.7188;0.005547012;159872.5469
5009.997398;3;3;3;3;3;3;0.256154299;34.1281395;237845.625;103383.1875;0.005500262;160098.6875
5010.149798;3;3;3;3;3;3;0.256091982;35.01939011;240594.7813;103669.8828;0.005470749;160248.625
5010.302198;2;3;2;3;3;3;0.256050021;35.94070435;242167.2188;103941.1563;0.00547118;160265.9688
5010.454598;2;3;2;3;3;3;0.256008059;36.86206055;243738.1875;104212.4063;0.00547165;160283.125
5010.606998;2;3;2;3;3;3;0.255966127;37.78340912;245309.2344;104483.6641;0.005472119;160300.2969
5010.759398;2;3;2;3;3;3;0.255924195;38.70475769;246880.375;104754.9219;0.0054726;160317.4688
5010.911798;2;3;2;3;3;3;0.255882233;39.62609863;248451.6094;105026.1719;0.005473069;160334.6563
5011.064198;2;3;2;3;3;3;0.255840302;40.54743958;250022.9375;105297.4297;0.00547354;160351.8438
5011.216598;3;3;3;3;3;3;0.25579834;41.4687767;251594.3438;105568.6875;0.005474019;160369.0469
5011.368998;3;3;3;3;3;3;0.255756408;42.39011002;253165.8594;105839.9453;0.005474499;160386.2656
5011.521398;4;3;3;3;3;3;0.255714446;43.31144333;254737.4531;106111.2109;0.00547497;160403.4844
5011.673798;4;3;3;3;3;3;0.255672514;44.23276901;256309.1563;106382.4688;0.005475449;160420.7031
5011.826198;4;3;3;3;3;3;0.255630553;45.1540947;257880.9375;106653.7266;0.00547593;160437.9375
5011.978598;4;3;3;3;3;3;0.255588621;46.07541657;259452.7969;106924.9922;0.00547641;160455.1719
5012.130998;4;3;3;3;3;3;0.255546659;46.99673462;261024.7656;107196.2578;0.00547689;160472.4219
5012.283398;4;3;3;3;3;3;0.255504698;47.91804886;262596.8125;107467.5156;0.00547737;160489.6875
5012.435798;4;3;3;3;3;3;0.255462766;48.83935928;264168.9688;107738.7813;0.005477849;160506.9531
5012.588198;3;3;3;3;3;3;0.255420804;49.76066971;265741.2188;108010.0469;0.00547834;160524.2188
5012.740598;3;3;3;3;3;3;0.255378842;50.68197632;267313.5313;108281.3203;0.005478819;160541.5
5012.892998;3;3;3;3;3;3;0.255336881;51.6032753;268885.9688;108552.5859;0.00547931;160558.7969
5013.045398;3;3;3;3;3;3;0.255294949;52.52457428;270458.4688;108823.8516;0.005479789;160576.0938
5013.197798;3;3;3;3;3;3;0.255252987;53.44587326;272031.0625;109095.125;0.00548028;160593.3906
5013.350198;3;3;3;3;3;3;0.255211026;54.36716461;273603.75;109366.3984;0.005480759;160610.7031
5013.502598;3;3;3;3;3;3;0.255169064;55.28845215;275176.5313;109637.6641;0.00548125;160628.0313
5013.654998;4;3;3;3;3;3;0.255127102;56.20973969;276749.4063;109908.9375;0.00548174;160645.3594
5013.807398;4;3;3;3;3;3;0.25508517;57.13102341;278322.375;110180.2109;0.005482229;160662.7031
5013.959798;4;3;3;3;3;3;0.255043209;58.05230331;279895.4375;110451.4844;0.00548272;160680.0469
5014.112198;3;3;3;3;3;3;0.255001247;58.97357941;281468.5938;110722.7656;0.00548321;160697.3906
5014.264598;3;3;3;3;3;3;0.254959285;59.8948555;283041.8125;110994.0391;0.0054837;160714.75
5014.416998;3;3;3;3;3;3;0.254917324;60.81612396;284615.1563;111265.3203;0.0054842;160732.125
5014.569398;3;3;3;3;3;3;0.254875362;61.73739243;286188.5625;111536.5938;0.00548469;160749.5
5014.721798;3;3;3;3;3;3;0.2548334;62.65865707;287762.0625;111807.875;0.005485179;160766.8906
5014.874198;3;3;3;3;3;3;0.254791439;63.57991791;289335.6875;112079.1563;0.00548568;160784.2813
5015.026598;3;3;3;3;3;3;0.254749477;64.50117493;290909.375;112350.4375;0.00548618;160801.6875
5015.178998;3;3;3;3;3;3;0.254752278;65.41684723;291194.3125;112493.0781;0.005497565;160741.4375
