MD;Ele;Ele5;EleSimp;EleSimp5;UpscaledThinLayerRemoval;UpscaledThinLayerRemovalSimp;AMPCONS;INSPHASE;RAI;RMS;FLAT;SWT
5128.0876;3;3;3;3;3;3;0.344430804;7.540509224;49450.57813;58218.80859;0.011016729;87607.01563
5128.24;3;3;3;3;3;3;0.344412804;8.1827631;50780.24219;58210.66016;0.011001635;87450.94531
5128.3924;2;3;2;3;3;3;0.344413161;8.821188927;52051.375;58201.83984;0.010989994;87276.71094
5128.5448;2;3;2;3;3;3;0.344413698;9.459581375;53321.99609;58193.00781;0.010978375;87102.32031
5128.6972;2;3;2;3;3;3;0.344414234;10.09797382;54592.61719;58184.17578;0.010966755;86927.92188
5128.8496;2;3;2;3;3;3;0.344414741;10.73636437;55863.23828;58175.34766;0.010955134;86753.52344
5129.002;3;3;3;3;3;3;0.344415277;11.37475491;57133.85156;58166.51563;0.010943524;86579.13281
5129.1544;3;3;3;3;3;3;0.344415784;12.01314545;58404.46484;58157.68359;0.010931904;86404.73438
5129.3068;4;3;3;3;3;3;0.34441632;12.65153408;59675.07813;58148.85156;0.010920284;86230.34375
5129.4592;4;3;3;3;3;3;0.344416827;13.28992271;60945.6875;58140.02344;0.010908664;86055.94531
5129.6116;4;3;3;3;3;3;0.344417363;13.92831135;62216.29297;58131.19141;0.010897037;85881.55469
5129.764;3;3;3;3;3;3;0.34441787;14.56669903;63486.89844;58122.35938;0.010885415;85707.16406
5129.9164;3;3;3;3;3;3;0.344418407;15.20508671;64757.5;58113.52734;0.010873795;85532.77344
5130.0688;3;3;3;3;3;3;0.344418913;15.84347248;66028.10156;58104.69531;0.010862174;85358.375
5130.2212;3;3;3;3;3;3;0.34441945;16.4818573;67298.70313;58095.86328;0.010850547;85183.98438
5130.3736;3;3;3;3;2;3;0.344419956;17.12024307;68569.30469;58087.02734;0.010838925;85009.59375
5130.526;3;3;3;3;2;2;0.344420463;17.75862885;69839.89844;58078.19531;0.010827296;84835.20313
5130.6784;3;3;3;3;2;2;0.344420999;18.39701271;71110.48438;58069.36328;0.010815674;84660.8125
5130.8308;3;3;3;3;2;2;0.344421506;19.03539658;72381.07813;58060.53125;0.010804047;84486.42188
5130.9832;3;3;3;3;2;2;0.344422013;19.67377853;73651.66406;58051.69531;0.010792417;84312.03125
5131.1356;3;3;3;3;2;2;0.344422519;20.31216049;74922.25;58042.86328;0.010780786;84137.64063
5131.288;3;3;3;3;2;2;0.344423056;20.95054245;76192.83594;58034.03125;0.010769157;83963.25781
5131.4404;3;3;3;3;2;2;0.344423562;21.58892441;77463.41406;58025.19531;0.010757535;83788.86719
5131.5928;3;3;3;3;2;2;0.344424069;22.22730446;78734;58016.36328;0.010745906;83614.47656
5131.7452;3;3;3;3;2;2;0.344424576;22.86568451;80004.57813;58007.52734;0.010734268;83440.09375
5131.8976;3;3;3;2;2;2;0.344425082;23.50406265;81275.14844;57998.69531;0.010722636;83265.70313
5132.05;2;3;2;2;2;2;0.344425589;24.1424408;82545.72656;57989.85938;0.010711007;83091.32031
5132.2024;2;3;2;2;2;2;0.344426096;24.78081894;83816.29688;57981.02344;0.010699377;82916.92969
5132.3548;2;3;2;2;2;2;0.344426632;25.41919708;85086.86719;57972.19141;0.010687738;82742.54688
5132.5072;2;3;2;2;2;2;0.344427139;26.05757332;86357.42969;57963.35547;0.010676106;82568.15625
5132.6596;2;3;2;2;2;2;0.344427645;26.69594955;87627.99219;57954.51953;0.010664468;82393.77344
5132.812;2;3;2;2;2;2;0.344428152;27.33432579;88898.55469;57945.68359;0.010652836;82219.39063
5132.9644;2;3;2;3;2;2;0.344428659;27.97270012;90169.11719;57936.84766;0.010641198;82045
5133.1168;2;3;2;3;2;2;0.344458342;28.6074543;91340.75781;57920.22266;0.010632642;81861.34375
5133.2692;3;3;3;3;2;2;0.344623208;29.22543144;92054.03906;57867.50781;0.010638356;81634.67969
5133.4216;3;3;3;3;2;2;0.344807863;29.84095573;92700.32813;57809.51563;0.010646148;81401.72656
5133.574;3;3;3;3;2;2;0.344992518;30.45648193;93346.61719;57751.52344;0.010653947;81168.78125
5133.7264;4;3;3;3;2;2;0.345177174;31.07200813;93992.90625;57693.53125;0.010661737;80935.82813
5133.8788;4;3;3;3;2;2;0.345361799;31.68753433;94639.1875;57635.53906;0.010669537;80702.875
5134.0312;4;3;3;3;2;2;0.345546454;32.30306244;95285.46875;57577.54688;0.010677337;80469.92969
5134.1836;3;3;3;2;2;2;0.34573108;32.91858673;95931.74219;57519.55469;0.010685127;80236.97656
5134.336;2;3;2;2;2;2;0.345915735;33.53411484;96578.02344;57461.55859;0.010692926;80004.02344
5134.4884;2;3;2;2;2;2;0.34610036;34.14963913;97224.29688;57403.56641;0.010700727;79771.07813
5134.6408;2;2;2;2;2;2;0.346285015;34.76516724;97870.57031;57345.57031;0.010708527;79538.125
5134.7932;2;2;2;2;2;2;0.346469641;35.38069534;98516.83594;57287.57813;0.010716317;79305.17188
5134.9456;2;2;2;2;2;2;0.346654296;35.99621964;99163.10156;57229.58203;0.010724116;79072.21875
5135.098;2;2;2;2;2;2;0.346838921;36.61174774;99809.36719;57171.58594;0.010731917;78839.26563
5135.2504;2;2;2;2;2;2;0.347023547;37.22727203;100455.6328;57113.58984;0.010739717;78606.3125
5135.4028;2;2;2;2;2;2;0.347208202;37.84280014;101101.8906;57055.59375;0.010747517;78373.35938
5135.5552;2;2;2;2;2;2;0.347392827;38.45832825;101748.1484;56997.59375;0.010755316;78140.40625
5135.7076;2;2;2;2;2;2;0.347577453;39.07385254;102394.4063;56939.59766;0.010763116;77907.45313
5135.86;2;2;2;2;2;2;0.347762078;39.68938065;103040.6563;56881.60156;0.010770908;77674.5
