MD;UpscaledThinLayerRemoval;INSPHASE;AMPCONS;RMS;RAI;FLAT;SWT
5355.6408;1;-5.644244671;0.224926144;34679.10938;4793.889648;0.00188569;54878.55859
5355.7932;1;-4.839783192;0.224875301;34686.83203;6181.765625;0.00190598;54935.44141
5355.9456;1;-4.035322189;0.224824444;34694.55078;7569.641602;0.00192626;54992.32422
5356.098;1;-3.230860949;0.224773601;34702.27344;8957.517578;0.00194655;55049.21094
5356.2504;1;-2.426399946;0.224722758;34709.99609;10345.39356;0.00196683;55106.09375
5356.4028;1;-1.621938586;0.224671915;34717.71875;11733.26953;0.00198712;55162.97656
5356.5552;1;-0.817477405;0.224621072;34725.44141;13121.14551;0.0020074;55219.85938
5356.7076;1;-0.013016169;0.224570215;34733.16406;14509.02051;0.00202769;55276.74219
5356.86;1;0.791445077;0.224519372;34740.88281;15896.89648;0.00204798;55333.625
5357.0124;1;1.595906258;0.224468529;34748.60547;17284.77344;0.00206826;55390.51172
5357.1648;1;2.400367498;0.224417687;34756.32813;18672.64844;0.00208855;55447.39453
5357.3172;1;3.204828739;0.224366844;34764.05078;20060.52539;0.00210883;55504.27734
5357.4696;1;4.009289742;0.224315986;34771.77344;21448.40039;0.00212912;55561.16016
5357.622;1;4.813751221;0.224265143;34779.49219;22836.27539;0.0021494;55618.04297
5357.7744;1;5.618212223;0.224214301;34787.21484;24224.15234;0.00216969;55674.92578
5357.9268;1;6.422673702;0.224163458;34794.9375;25612.02734;0.00218997;55731.80859
5358.0792;1;7.227134705;0.224112615;34802.66016;26999.9043;0.00221026;55788.69531
5358.2316;1;8.031596184;0.224061757;34810.38281;28387.7793;0.00223055;55845.57813
5358.384;1;8.836057663;0.224010915;34818.10547;29775.65625;0.00225083;55902.46094
5358.5364;1;9.640518189;0.223960072;34825.82422;31163.53125;0.00227112;55959.34375
5358.6888;1;10.44497967;0.223909229;34833.54688;32551.40625;0.0022914;56016.22656
5358.8412;1;11.24944019;0.223858386;34841.26953;33939.28125;0.00231169;56073.10938
5358.9936;1;12.05390167;0.223807529;34848.99219;35327.16016;0.00233197;56129.99609
5359.146;1;12.85836315;0.223756686;34856.71484;36715.03516;0.00235226;56186.87891
5359.2984;1;13.66282463;0.223705843;34864.43359;38102.91016;0.00237254;56243.76172
5359.4508;1;14.46728516;0.223655;34872.15625;39490.78516;0.00239283;56300.64453
5359.6032;1;15.27174664;0.223604158;34879.87891;40878.66406;0.00241311;56357.52734
5359.7556;1;16.07620812;0.2235533;34887.60156;42266.53906;0.0024334;56414.41016
5359.908;1;16.88066864;0.223502457;34895.32422;43654.41406;0.00245369;56471.29688
5360.0604;1;17.66557884;0.223454282;34919.14453;44905.12109;0.00246854;56492.31641
5360.2128;1;18.4330616;0.223410189;34967.48828;45946.89844;0.00247511;56458.71484
5360.3652;1;19.19703865;0.223366097;35015.83203;46988.67578;0.00248168;56425.11328
5360.5176;1;19.9610157;0.223322004;35064.17578;48030.45313;0.00248826;56391.51172
